tag_id,count,x_median,y_median,x_std,y_std
0,15,-1.3734976373743026,1.5686348750409471,0.155429021262871,0.36818373471539156
1,14,-4.625627891287369,-0.9390583705623141,0.051613373888673035,0.04017714822483524
2,80,-5.02842008749826,-2.025186172308122,0.11955753928451948,0.12760157390111182
3,66,-4.568962789275158,-1.6103705618520379,0.08779185392314903,0.11299204740361121
4,60,-5.568183251079001,-2.528142688961294,0.14272782027322212,0.12560907205650523
5,52,-1.1294719612666304,3.8047079515595827,0.06848207850666238,0.0687512614997335
6,20,-6.066908676496731,-1.1191057616385693,0.07327376590140397,0.024295559797889762
7,33,-5.789578701724947,-1.6866173750129834,0.07966538973788999,0.04539471292194142
8,48,-5.018187468273973,-1.332720272186986,0.17690464465172262,0.1187067150450035
9,12,-1.611151075024969,3.0466059031219355,0.0666721075484876,0.052633088381144964
10,36,-2.2254379474645285,0.47260326743732145,0.045845191430650356,0.003966261778785023
11,2,-2.545507511388871,0.6971655396875935,0.003698199178953621,0.009625161797894204
12,1,-0.9724043208678742,1.117188336658192,,
14,23,-1.614218169802436,2.173006972371783,0.13968609520445352,0.2085927356551108
15,17,-1.8757136157192478,2.2322285569830047,0.2568769938136272,0.14425145983919618
16,100,-2.671503692138912,2.8387245456815684,0.1938393144901357,0.12968561383331634
19,9,-0.18911612170219105,2.2457289521995047,0.015111989368295085,0.01945505208942947
20,41,-0.5015682393194216,1.4616889898231602,0.15006762615944627,0.14010247004795312
21,17,0.09386219433350218,0.9630095197508101,0.020586521226243736,0.22131744123792438
22,69,-4.322160591255616,-0.6337715839361,0.07456878230301782,0.09513560511104238
23,1,-5.748676961964592,-0.26384822519421275,,
24,18,-2.021772377307463,1.3561144836532666,0.1690850497361951,0.07007897938625701
25,56,-2.0262279016406657,2.793720820625646,0.046558614479203925,0.06396940446246697
27,27,-6.249844970116475,-0.9333887280344024,0.014478073266807705,0.06595493810574583
28,75,-6.2141463426792125,0.2822292766362898,0.07625773898827351,0.03424156717084305
29,27,-6.761157970101268,-0.1046556325527431,0.018746463296634087,0.008004990223437444
30,1,-3.379236265103064,1.8390719903342143,,
32,24,-3.933751497377687,0.3115569228805388,0.11227776282045393,0.1776188505979669
33,50,-3.925793681735655,-0.05439925455906549,0.0994055391284868,0.04188318263083941
35,31,-2.5493580451708344,0.5748681744755415,0.0513457646916207,0.04356294855915335
36,1,-1.9576526492740915,1.081558782033266,,
37,19,-5.228030297743205,-1.9739078413230124,0.04892474722443192,0.19847357855010153
38,27,-2.4648337033803913,1.3846773336048515,0.33336412069878596,0.2145914754118926
39,28,-2.4809543768120728,-0.3151676691219879,0.1396619299640033,0.12282099588579934
40,96,-3.133091907741565,-0.6513957140562466,0.16455012473712063,0.1607000375314621
47,18,-2.2519442645387198,2.4785263215850772,0.18619804248525643,0.043066351146085896
48,30,-0.6533442232878894,1.1888170721099125,0.0510743301060116,0.15066691398617502
49,54,-1.3428972373028507,3.3530641473098437,0.13149004411826629,0.17046351349633326
